Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ManufacturerName,manufacturer-pn
1,,Battery_Cell,BT1 BT2,Battery_Cell,Keystone1043,2,,Keystone,1043
2,,C,C4 C6 C10 C13 C14 C17 C18 C22 C36 C38,100nF,C_0603_HandSoldering,10,,Yageo,CC0603JRX7R9BB104
3,,C,C20,100pF,C_0603_HandSoldering,1,,Yageo,CC0603JRNPO9BN101
4,,C,C21,10nF,C_0603_HandSoldering,1,,Samsung Electro-Mechanics,CL10B103KB8NCNC
5,,C,C12 C40 C42,10uF,C_0805_HandSoldering,3,,Samsung Electro-Mechanics,CL21B106KPQNNNE
6,,C,C1 C2,12pF,C_0603_HandSoldering,2,,Yageo,CC0603JRNPO9BN120
7,,C,C3 C5 C7 C9 C11 C15 C16 C19 C23,1uF,C_0603_HandSoldering,9,,Taiyo Yuden,LMK107B7105KA-T
8,,C,C8 C39 C41,22uF,C_0805_HandSoldering,3,,Murata Electronics,GRM21BD71A226ME44L
9,,CP,C34 C35 C37,330uF,CP_Tantalum_Case-E_EIA-7260-38_Hand,3,,AVX,TPSE337K010T0050V
10,,C,C24 C25 C26 C27 C28 C29 C30 C31 C32 C33,470pF,C_0603_HandSoldering,10,,Yageo,CC0603JRNPOYBN471
11,,Micro_SD_Card,CON1,Micro_SD_Card,MicroSd_Wurth_693072010801,1,,Wurth,693072010801
12,,D_Schottky,D1 D2 D3 D6 D10 D12 D13 D14,D_Schottky,D_SOD-323_HandSoldering,8,,STMicroelectronics,BAT60JFILM
13,,D_Schottky_AAK,D8,D_Schottky_AAK,TO-277A,1,,Vishay,SS10PH10-M3/86A
14,,D_Zener,D4 D5,D_Zener,D_SMB_Handsoldering,2,,Micro Commercial Components (MCC),SMBJ5339B-TP
15,,LED-device,D7 D11,LED,LED_0603_HandSoldering,2,~,Inolux,IN-S63BTA
16,,LED,D9,LED,LED_0603_HandSoldering,1,,Lite-On Inc.,LTST-C191KGKT
17,,Polyfuse,F1 F2,Polyfuse,R_1812_HandSoldering,2,,Littelfuse,1812L050/60MR
